id,type,speaker_or_blank,text,translation_or_blank
HFUP011,phrase,Saúl,"Bonjour, je m’appelle Saúl Cervantes.","Hola, me llamo Saúl Cervantes."
HFUP012,phrase,Saúl,"J’ai vingt-quatre ans et je viens du Mexique, plus précisément de l’État de Nuevo León.","Tengo veinticuatro años y vengo de México, más precisamente del estado de Nuevo León."
HFUP013,phrase,Saúl,Je suis actuellement étudiant en licence de langues étrangères à l’Universidad del Valle de México.,Actualmente soy estudiante de la licenciatura en lenguas extranjeras en la Universidad del Valle de México.
HFUP014,phrase,Saúl,"Dans le cadre de mes études, j’apprends principalement le français et l’anglais.","En el marco de mis estudios, aprendo principalmente francés e inglés."
HFUPV001,word,,actuellement,actualmente
HFUPV002,word,,une licence,una licenciatura
HFUPV003,word,,les langues étrangères,las lenguas extranjeras
HFUPV004,word,,dans le cadre de,en el marco de
HFUPV005,word,,principalement,principalmente
HFUPV006,word,,plus précisément,más precisamente
HFUP021,phrase,Saúl,"Pendant mon temps libre, j’aime apprendre des langues, écouter de la musique, jouer du piano et découvrir des contenus provenant de différents pays.","Durante mi tiempo libre, me gusta aprender idiomas, escuchar música, tocar el piano y descubrir contenidos provenientes de diferentes países."
HFUP022,phrase,Saúl,"J’aime également lire, jouer à des jeux vidéo et regarder des émissions étrangères, car ces activités me permettent de pratiquer les langues d’une manière plus naturelle.","También me gusta leer, jugar videojuegos y ver programas extranjeros, porque estas actividades me permiten practicar los idiomas de una manera más natural."
HFUPV007,word,,pendant mon temps libre,durante mi tiempo libre
HFUPV008,word,,également,también
HFUPV009,word,,une émission étrangère,un programa extranjero
HFUPV010,word,,permettre de,permitir
HFUPV011,word,,d’une manière naturelle,de una manera natural
HFUPV012,word,,provenir de,provenir de
HFUP031,phrase,Saúl,"Du lundi au vendredi, je consacre une grande partie de ma journée à mes études.","De lunes a viernes, dedico una gran parte de mi día a mis estudios."
HFUP032,phrase,Saúl,"J’essaie d’étudier régulièrement, mais je donne actuellement la priorité au français.","Intento estudiar regularmente, pero actualmente doy prioridad al francés."
HFUP033,phrase,Saúl,"Le week-end, je travaille comme serveur dans un restaurant.","El fin de semana, trabajo como mesero en un restaurante."
HFUP034,phrase,Saúl,Cette expérience professionnelle m’a appris à communiquer avec des personnes très différentes.,Esta experiencia profesional me ha enseñado a comunicarme con personas muy diferentes.
HFUPV013,word,,consacrer du temps à,dedicar tiempo a
HFUPV014,word,,essayer de,intentar
HFUPV015,word,,régulièrement,regularmente
HFUPV016,word,,donner la priorité à,dar prioridad a
HFUPV017,word,,un serveur,un mesero
