id,type,speaker_or_blank,text,translation_or_blank,text_tts
J1001,phrase,Ren,こんばんは。,Buenas noches.,[calm] こんばんは。
J1002,phrase,Mina,こんばんは。,Buenas noches.,[slightly nervous] こんばんは。
J1003,phrase,Ren,はじめまして。レンです。,Mucho gusto. Soy Ren.,[friendly] はじめまして。レンです。
J1004,phrase,Mina,はじめまして。ミナです。,Mucho gusto. Soy Mina.,[polite] はじめまして。ミナです。
J1005,phrase,Ren,ここは図書館です。,Esto es una biblioteca.,[clear] ここは図書館です。
J1006,phrase,Mina,よろしくお願いします。,Mucho gusto / Espero llevarme bien contigo.,[polite] よろしくお願いします。
J1007,phrase,Ren,これは本です。,Esto es un libro.,[clear] これは本です。
J1008,phrase,Mina,それは何ですか。,¿Qué es eso?,[curious] それは何ですか。
J1009,phrase,Ren,これは鍵です。,Esto es una llave.,[clear] これは鍵です。
J1010,phrase,Mina,あれは時計ですか。,¿Aquello es un reloj?,[curious] あれは時計ですか。
J1011,phrase,Ren,はい、時計です。,"Sí, es un reloj.",[friendly] はい、時計です。
J1012,phrase,Mina,いいえ、これはカードです。,"No, esto es una tarjeta.",[correcting gently] いいえ、これはカードです。
J1013,phrase,Mina,箱が動いています。,La caja se está moviendo.,[surprised] 箱が動いています。
J1014,phrase,Ren,ああ、ポコです。,"Ah, es Poko.",[casual] ああ、ポコです。
J1015,phrase,Poko,ポコです。こんにちは。,Soy Poko. Hola.,[cheerful] ポコです。こんにちは。
J1016,phrase,Mina,人ですか。,¿Es una persona?,[uncertain] 人ですか。
J1017,phrase,Ren,いいえ、人ではありません。,"No, no es una persona.",[calm] いいえ、人ではありません。
J1018,phrase,Poko,小さい生き物です。,Soy una criatura pequeña.,[proud] 小さい生き物です。
J1019,phrase,Mina,赤い本はどこですか。,¿Dónde está el libro rojo?,[looking around] 赤い本はどこですか。
J1020,phrase,Poko,机の上です。,Está encima del escritorio.,[quickly] 机の上です。
J1021,phrase,Mina,ありません。,No está.,[confused] ありません。
J1022,phrase,Ren,箱の中を見てください。,"Mira dentro de la caja, por favor.",[helpful] 箱の中を見てください。
J1023,phrase,Mina,ここにあります。,Está aquí.,[relieved] ここにあります。
J1024,phrase,Poko,ポコの本です。,Es el libro de Poko.,[possessive] ポコの本です。
J1025,phrase,Mina,窓の近くに猫がいます。,Hay un gato cerca de la ventana.,[softly] 窓の近くに猫がいます。
J1026,phrase,Ren,白い猫です。名前はシロです。,Es un gato blanco. Se llama Shiro.,[calm] 白い猫です。名前はシロです。
J1027,phrase,Mina,かわいいですね。,"Es lindo, ¿verdad?",[delighted] かわいいですね。
J1028,phrase,Poko,大きい猫です。,Es un gato grande.,[serious] 大きい猫です。
J1029,phrase,Ren,いいえ、あまり大きくありません。,"No, no es muy grande.",[correcting] いいえ、あまり大きくありません。
J1030,phrase,Shiro,にゃあ。,Miau.,[soft meow] にゃあ。
J1031,phrase,Ren,本が三冊あります。,Hay tres libros.,[clear] 本が三冊あります。
J1032,phrase,Ren,赤い本を一冊ください。,"Dame un libro rojo, por favor.",[polite] 赤い本を一冊ください。
J1033,phrase,Mina,この本ですか。,¿Este libro?,[checking] この本ですか。
J1034,phrase,Ren,はい、その本です。,"Sí, ese libro.",[confirming] はい、その本です。
J1035,phrase,Poko,青い本もあります。,También hay un libro azul.,[excited] 青い本もあります。
J1036,phrase,Mina,二冊を机に置きます。,Pongo dos libros sobre el escritorio.,[focused] 二冊を机に置きます。
J1037,phrase,Ren,今から仕事をします。,Ahora vamos a trabajar.,[clear] 今から仕事をします。
