id,type,speaker_or_blank,text,translation_or_blank
E2011,phrase,Mia,How was your holiday?,¿Cómo estuvieron tus vacaciones?
E2012,phrase,Ethan,It was great. I visited my grandparents.,Fue genial. Visité a mis abuelos.
E2013,phrase,Noah,Did you travel anywhere?,¿Viajaste a algún lugar?
E2014,phrase,Ethan,"No, I stayed in my hometown.","No, me quedé en mi ciudad natal."
E2015,phrase,Emma,What did you do there?,¿Qué hiciste allá?
E2016,phrase,Ethan,I helped my family and relaxed.,Ayudé a mi familia y descansé.
E2021,phrase,Mr. Carter,"Class, this is Sofia. She is new here.","Clase, ella es Sofia. Es nueva aquí."
E2022,phrase,Sofia,"Hi, everyone. I'm from Colombia.",Hola a todos. Soy de Colombia.
E2023,phrase,Mia,How long have you lived here?,¿Cuánto tiempo has vivido aquí?
E2024,phrase,Sofia,Only two weeks.,Solo dos semanas.
E2025,phrase,Noah,Do you like the city so far?,¿Te gusta la ciudad hasta ahora?
E2026,phrase,Sofia,"Yes, but I still get lost sometimes.","Sí, pero todavía me pierdo a veces."
E2031,phrase,Mr. Carter,"Why are you late, Ethan?","¿Por qué llegas tarde, Ethan?"
E2032,phrase,Ethan,I missed the bus this morning.,Perdí el autobús esta mañana.
E2033,phrase,Mr. Carter,What happened?,¿Qué pasó?
E2034,phrase,Ethan,I woke up late and couldn't find my keys.,Me desperté tarde y no pude encontrar mis llaves.
E2035,phrase,Mia,Did you eat breakfast?,¿Desayunaste?
E2036,phrase,Ethan,"No, I didn't have time.","No, no tuve tiempo."
E2041,phrase,Noah,What are you doing this weekend?,¿Qué harás este fin de semana?
E2042,phrase,Mia,I'm visiting my aunt on Saturday.,Visitaré a mi tía el sábado.
E2043,phrase,Emma,I'm studying for the science test.,Estudiaré para el examen de ciencias.
E2044,phrase,Ethan,I'm not doing anything special.,No haré nada especial.
E2045,phrase,Noah,We're going to the lake on Sunday.,Iremos al lago el domingo.
E2046,phrase,Ethan,Can I come with you?,¿Puedo ir con ustedes?
E2051,phrase,Mia,The weather was perfect yesterday.,El clima estuvo perfecto ayer.
E2052,phrase,Noah,I was swimming when you arrived.,Yo estaba nadando cuando llegaste.
E2053,phrase,Ethan,Emma was reading under a tree.,Emma estaba leyendo bajo un árbol.
E2054,phrase,Emma,You were taking photos all afternoon.,Estuviste tomando fotos toda la tarde.
E2055,phrase,Sofia,Was anyone fishing?,¿Alguien estaba pescando?
E2056,phrase,Noah,"Yes, my uncle was fishing near the bridge.","Sí, mi tío estaba pescando cerca del puente."
E2061,phrase,Mother,Who called you during dinner?,¿Quién te llamó durante la cena?
E2062,phrase,Ethan,It was Noah.,Era Noah.
E2063,phrase,Mother,What did he want?,¿Qué quería?
E2064,phrase,Ethan,He was walking home when he saw a lost dog.,Estaba caminando a casa cuando vio un perro perdido.
E2065,phrase,Mother,Did he find the owner?,¿Encontró al dueño?
E2066,phrase,Ethan,Not yet. He's taking the dog to the shelter.,Todavía no. Llevará al perro al refugio.
E2071,phrase,Worker,Have you visited an animal shelter before?,¿Han visitado antes un refugio de animales?
E2072,phrase,Ethan,"No, I haven't.",No.
E2073,phrase,Mia,I've volunteered at one before.,He trabajado como voluntaria en uno antes.
E2074,phrase,Noah,Has anyone called about the dog?,¿Alguien ha llamado por el perro?
E2075,phrase,Worker,"Yes, his owner has just arrived.","Sí, su dueño acaba de llegar."
E2076,phrase,Emma,That's wonderful news.,Es una noticia maravillosa.
E2081,phrase,Emma,Have you ever ridden a horse?,¿Alguna vez has montado a caballo?
E2082,phrase,Ethan,"No, I've never ridden one.","No, nunca he montado uno."
E2083,phrase,Noah,I've ridden a horse twice.,He montado a caballo dos veces.
E2084,phrase,Mia,Have you ever flown on a plane?,¿Alguna vez has volado en avión?
E2085,phrase,Sofia,"Yes, many times.","Sí, muchas veces."
E2086,phrase,Ethan,I've never traveled by plane.,Nunca he viajado en avión.
E2091,phrase,Mia,How long have you studied English?,¿Cuánto tiempo has estudiado inglés?
E2092,phrase,Sofia,I've studied it for three years.,Lo he estudiado durante tres años.
E2093,phrase,Ethan,How long have you lived here?,¿Cuánto tiempo has vivido aquí?
E2094,phrase,Sofia,I've lived here since January.,He vivido aquí desde enero.
E2095,phrase,Noah,Have you made many friends?,¿Has hecho muchos amigos?
E2096,phrase,Sofia,"Yes, I have. Everyone has been kind.",Sí. Todos han sido amables.
E2101,phrase,Mr. Carter,Which club are you interested in?,¿Qué club te interesa?
E2102,phrase,Ethan,I'm interested in photography.,Me interesa la fotografía.
E2103,phrase,Mia,I enjoy helping with the school newspaper.,Disfruto ayudar con el periódico escolar.
E2104,phrase,Noah,I prefer playing sports.,Prefiero practicar deportes.
E2105,phrase,Emma,I'm thinking about joining the drama club.,Estoy pensando en unirme al club de teatro.
E2106,phrase,Sofia,"I love singing, so I'll join the music club.","Me encanta cantar, así que me uniré al club de música."
E2111,phrase,Teacher,This camera is lighter than that one.,Esta cámara es más ligera que aquella.
E2112,phrase,Ethan,But that one looks more professional.,Pero aquella se ve más profesional.
E2113,phrase,Mia,Which camera is easier to use?,¿Qué cámara es más fácil de usar?
E2114,phrase,Teacher,The smaller one is easier for beginners.,La más pequeña es más fácil para principiantes.
E2115,phrase,Ethan,Is it cheaper too?,¿También es más barata?
E2116,phrase,Teacher,"Yes, and the battery lasts longer.","Sí, y la batería dura más."
E2121,phrase,Teacher,This is the most colorful photo.,Esta es la foto más colorida.
E2122,phrase,Mia,Noah's photo is the funniest.,La foto de Noah es la más divertida.
E2123,phrase,Emma,Which one is the most creative?,¿Cuál es la más creativa?
E2124,phrase,Teacher,I think Sofia's is the most creative.,Creo que la de Sofia es la más creativa.
E2125,phrase,Ethan,"Mine isn't the best, but I like it.","La mía no es la mejor, pero me gusta."
E2126,phrase,Noah,Your photo has the clearest light.,Tu foto tiene la luz más clara.
E2131,phrase,Noah,This café is too crowded.,Este café está demasiado lleno.
E2132,phrase,Mia,There aren't enough tables.,No hay suficientes mesas.
E2133,phrase,Ethan,The music is too loud.,La música está demasiado fuerte.
E2134,phrase,Emma,But the drinks are cheap enough.,Pero las bebidas son lo bastante baratas.
E2135,phrase,Sofia,Is this table big enough for five people?,¿Esta mesa es lo bastante grande para cinco personas?
E2136,phrase,Noah,"Yes, let's sit here.","Sí, sentémonos aquí."
E2141,phrase,Server,Are you ready to order?,¿Están listos para ordenar?
E2142,phrase,Mia,Could I have a hot chocolate?,¿Podría darme un chocolate caliente?
E2143,phrase,Ethan,I'd like a coffee without sugar.,Quisiera un café sin azúcar.
E2144,phrase,Noah,Can I get two muffins?,¿Me da dos muffins?
E2145,phrase,Emma,Could you bring us some water too?,¿Podría traernos agua también?
E2146,phrase,Server,Of course. Anything else?,Claro. ¿Algo más?
E2151,phrase,Ethan,"Excuse me, I think this is the wrong drink.","Disculpe, creo que esta es la bebida equivocada."
E2152,phrase,Server,What did you order?,¿Qué pidió?
E2153,phrase,Ethan,I ordered coffee without sugar.,Pedí café sin azúcar.
E2154,phrase,Server,I'm sorry. This one has sugar.,Lo siento. Este tiene azúcar.
E2155,phrase,Ethan,"Could you change it, please?","¿Podría cambiarlo, por favor?"
E2156,phrase,Server,Certainly. I'll bring the correct one.,Claro. Traeré el correcto.
E2161,phrase,Mia,We need to buy Emma a gift.,Necesitamos comprarle un regalo a Emma.
E2162,phrase,Noah,What should we get her?,¿Qué deberíamos comprarle?
E2163,phrase,Ethan,She likes books. Let's buy her one.,Le gustan los libros. Comprémosle uno.
E2164,phrase,Sofia,I saw a nice journal. I can show it to you.,Vi un diario bonito. Puedo mostrárselo.
E2165,phrase,Noah,Does she already have one?,¿Ya tiene uno?
E2166,phrase,Mia,I don't think so.,No lo creo.
