id,type,speaker_or_blank,text,translation_or_blank
1043,phrase,Saul,감사합니다.,Gracias.
1119,phrase,Aru,괜찮아요.,Está bien.
1120,phrase,Saul,네. 괜찮아요.,Sí. Estoy bien.
P008,word,,집,casa
P012,word,,물,agua
P021,word,,길,camino
P022,word,,사람,persona
P029,word,,마을,aldea
P052,word,,가족,familia
P058,word,,지금,ahora
P062,word,,만나다,conocer / encontrarse
P073,word,,새로운,nuevo
P084,word,,시장,mercado
P092,word,,얼마예요,cuánto cuesta
3001,phrase,Abuela,오늘은 중요한 일을 해야 한다. 이 상자를 하늘 마을까지 가져가야 해.,Hoy debemos hacer algo importante. Hay que llevar esta caja hasta la aldea Haneul.
3002,phrase,Saul,하늘 마을이요? 다른 마을도 있어요?,¿Aldea Haneul? ¿También hay otras aldeas?
3003,phrase,Aru,네. 이곳 밖에도 여러 마을이 있어요.,Sí. Fuera de aquí también hay varias aldeas.
3004,phrase,Joon,길은 멀지만 너무 위험하지는 않아요.,"El camino es largo, pero no es demasiado peligroso."
3005,phrase,Hana,그래도 준비가 필요해요. 물하고 음식을 챙겨야 해요.,Aun así necesitamos prepararnos. Debemos llevar agua y comida.
3006,phrase,Saul,저도 같이 갈 거예요. 이제 도망가고 싶지 않아요.,Yo también iré. Ahora ya no quiero huir.
P106,word,,상자,caja
P107,word,,가져가다,llevar
P108,word,,밖,fuera
P109,word,,여러,varios
P110,word,,챙기다,preparar / llevar consigo
3007,phrase,Aru,먼저 가방에 물을 넣어요. 그리고 음식도 조금 넣어요.,Primero pon agua en la bolsa. Y también pon un poco de comida.
3008,phrase,Saul,이 정도면 충분해요?,¿Con esto es suficiente?
3009,phrase,Hana,아니요. 길이 길어서 더 필요할 것 같아요.,"No. Como el camino es largo, creo que necesitaremos más."
3010,phrase,Joon,무거우면 제가 들게요. 사울 씨는 아직 많이 걸어 본 적이 없잖아요.,"Si pesa, yo lo llevaré. Saul todavía no ha caminado tanto, ¿verdad?"
3011,phrase,Saul,맞아요. 하지만 오늘은 끝까지 걸어 볼게요.,Es verdad. Pero hoy intentaré caminar hasta el final.
