id,type,speaker_or_blank,text,translation_or_blank
V5001,phrase,Minho,"여러분, 오늘 드디어 새로운 게스트가 왔습니다!","Todos, ¡hoy por fin llegó un invitado nuevo!"
V5002,phrase,Bora,게스트요? 왜 이렇게 조용히 들어와요? 벌써 수상한데요?,¿Invitado? ¿Por qué entra tan callado? Ya está sospechoso.
V5003,phrase,Saul,안녕하세요. 저는 사울입니다. 아직 한국어가 완벽하지는 않지만 열심히 해 보겠습니다.,"Hola. Soy Saul. Mi coreano todavía no es perfecto, pero intentaré hacerlo con ganas."
V5004,phrase,Taeyun,잠깐만요. 인사부터 너무 정중한데요? 보통 이런 사람이 제일 무서워요.,Un momento. Su saludo es demasiado educado. Normalmente gente así es la más temible.
V5005,phrase,Dami,"아니에요, 귀여운데요? 긴장해서 그런 것 같아요.","No, se ve tierno. Creo que es porque está nervioso."
V5006,phrase,Jisoo,긴장한 사람치고는 주변을 너무 잘 보고 있어요.,"Para ser alguien nervioso, está observando demasiado bien alrededor."
V5007,phrase,Saul,저는 그냥 어디에 서야 하는지 보고 있었어요.,Solo estaba viendo dónde debía pararme.
V5008,phrase,Bora,봐요! 벌써 위치를 확인했어요. 뭔가 계획이 있는 거예요.,¡Vieron! Ya revisó la posición. Tiene algún plan.
V5009,phrase,Minho,오늘 첫 방송부터 분위기가 좋네요. 아무도 아무 말 안 했는데 이미 의심이 시작됐습니다.,El ambiente está bueno desde el primer episodio. Nadie dijo nada y ya empezó la sospecha.
V5010,phrase,Kang PD,오늘의 촬영은 평범한 환영식이 아닙니다. 이 안에 비밀 미션을 받은 사람이 있습니다.,La grabación de hoy no es una bienvenida normal. Aquí hay alguien que recibió una misión secreta.
V5011,phrase,Taeyun,"아, 또 이런 거예요? 저는 이런 게임 하면 항상 억울하게 몰려요.","Ah, ¿otra vez algo así? Cuando jugamos a esto siempre me culpan injustamente."
V5012,phrase,Saul,비밀 미션이요? 저는 아직 아무것도 못 들었어요.,¿Misión secreta? Yo todavía no escuché nada.
V5013,phrase,Bora,그 말이 제일 수상해요. 진짜 범인은 항상 그렇게 말해요.,Eso es lo más sospechoso. El verdadero culpable siempre dice eso.
V5014,phrase,Dami,오늘은 사울 씨가 계속 변명해야 할 것 같아요.,Creo que hoy Saul tendrá que defenderse todo el tiempo.
V5015,phrase,Minho,"좋습니다. 수상한 하루, 첫 번째 에피소드 시작합니다!",Muy bien. ¡Empieza el primer episodio de Un Día Sospechoso!
VP300,word,,수상하다,sospechoso
VP301,word,,정중하다,ser formal / cortés
VP302,word,,긴장하다,estar nervioso
VP303,word,,억울하다,sentirse acusado injustamente
VP304,word,,변명하다,dar excusas / defenderse
V5016,phrase,Minho,"사울 씨, 한국 예능은 많이 봤어요?","Saul, ¿has visto muchos programas de variedades coreanos?"
V5017,phrase,Saul,"네, 조금 봤어요. 그런데 아직 말이 너무 빨라서 다 이해하지는 못해요.","Sí, he visto un poco. Pero todavía hablan muy rápido, así que no entiendo todo."
V5018,phrase,Taeyun,"다 이해하지 못한다는 말은, 규칙을 몰라도 이길 수 있다는 뜻인가요?",¿Decir que no entiende todo significa que puede ganar aunque no sepa las reglas?
V5019,phrase,Saul,"아니요, 그런 뜻은 아니에요. 저는 그냥 열심히 따라가려고 해요.","No, no significa eso. Solo intento seguirlos con esfuerzo."
V5020,phrase,Bora,따라가려고 한다? 누구를 따라가려고 하는데요? 혹시 목표가 있어요?,¿Intentas seguirnos? ¿A quién intentas seguir? ¿Tienes algún objetivo?
V5021,phrase,Dami,"언니, 너무 빠르잖아요. 아직 자기소개도 끝나지 않았어요.","Bora, vas demasiado rápido. Ni siquiera terminó su presentación."
V5022,phrase,Jisoo,그래도 질문은 괜찮아요. 처음 말할 때 습관이 많이 보여요.,Pero las preguntas están bien. Al hablar al principio se ven muchos hábitos.
V5023,phrase,Saul,저는 음악하고 언어를 좋아해요. 그리고 오늘은 많이 배우러 왔어요.,Me gusta la música y los idiomas. Y hoy vine a aprender mucho.
V5024,phrase,Minho,"배우러 왔다고 했지만, 우리 프로그램은 배우기 전에 살아남아야 합니다.","Dice que vino a aprender, pero en nuestro programa hay que sobrevivir antes de aprender."
V5025,phrase,Kang PD,자기소개가 끝나면 바로 첫 번째 테스트를 시작하겠습니다.,"Cuando terminen las presentaciones, empezaremos inmediatamente la primera prueba."
V5026,phrase,Saul,테스트요? 어떤 테스트예요?,¿Prueba? ¿Qué tipo de prueba?
V5027,phrase,Taeyun,그 표정 봤어요? 진짜 처음 듣는 사람 표정이 아니에요.,¿Vieron esa cara? No es la cara de alguien que lo escucha por primera vez.
V5028,phrase,Saul,아니에요! 저는 정말 처음 들었어요.,¡No! De verdad lo escuché por primera vez.
V5029,phrase,Bora,진짜라는 말을 너무 빨리 했어요. 더 수상해졌어요.,Dijo “de verdad” demasiado rápido. Se volvió más sospechoso.
V5030,phrase,Minho,오늘 사울 씨는 한국어보다 의심을 먼저 배우고 있습니다.,Hoy Saul está aprendiendo sospecha antes que coreano.
VP305,word,,예능,programa de variedades
VP306,word,,규칙,regla
VP307,word,,목표,objetivo
VP308,word,,테스트,prueba / test
VP309,word,,살아남다,sobrevivir
V5031,phrase,Kang PD,첫 번째 미션은 금지어 게임입니다. 각자 말하면 안 되는 단어가 하나씩 있습니다.,La primera misión es el juego de palabras prohibidas. Cada uno tiene una palabra que no debe decir.
V5032,phrase,Minho,역시 시작부터 사람을 불안하게 만드는 게임이네요.,"Como esperaba, empezamos con un juego que hace sentir insegura a la gente."
V5033,phrase,Saul,"죄송한데, 금지어가 뭐예요?","Perdón, ¿qué es una palabra prohibida?"
V5034,phrase,Dami,말하면 안 되는 단어예요. 말하는 순간 점수를 잃어요.,"Es una palabra que no puedes decir. En el momento que la dices, pierdes puntos."
V5035,phrase,Taeyun,제발 제 금지어가 ‘아니’는 아니겠죠? 저는 그 말 없으면 말을 못 해요.,"Por favor, mi palabra prohibida no será “no”, ¿verdad? Sin esa palabra no puedo hablar."
V5036,phrase,Bora,태윤 오빠는 그냥 조용히 있으면 돼요. 그게 제일 안전해요.,"Taeyun, solo quédate callado. Eso es lo más seguro."
V5037,phrase,Taeyun,"아니, 왜 시작도 전에 저를 막아요?","Oye, ¿por qué me bloquean antes de empezar?"
V5038,phrase,Kang PD,방금 ‘아니’라고 하셨습니다. 하지만 아직 게임 시작 전이라 살려 드리겠습니다.,"Acaba de decir “no”. Pero como todavía no empieza el juego, lo salvaremos."
V5039,phrase,Minho,이미 예고편 하나 나왔습니다. 오늘 태윤 씨 큰일 났어요.,Ya tenemos trailer. Hoy Taeyun está en problemas.
V5040,phrase,Saul,제 금지어는 제가 알 수 있어요?,¿Puedo saber cuál es mi palabra prohibida?
V5041,phrase,Kang PD,아니요. 본인은 모릅니다. 다른 멤버들만 알 수 있습니다.,No. Tú no la sabes. Solo los otros miembros pueden saberla.
V5042,phrase,Saul,그럼 저는 어떻게 조심해요?,"Entonces, ¿cómo tengo cuidado?"
V5043,phrase,Jisoo,그래서 게임이 어려운 거예요. 자기 습관을 모르면 계속 걸려요.,"Por eso el juego es difícil. Si no conoces tus hábitos, caes una y otra vez."
V5044,phrase,Bora,사울 씨 금지어가 뭔지 빨리 보고 싶어요.,Quiero ver rápido cuál es la palabra prohibida de Saul.
V5045,phrase,Dami,저도요. 그런데 너무 괴롭히지는 말아요.,Yo también. Pero no lo molestemos demasiado.
VP310,word,,금지어,palabra prohibida
VP311,word,,점수,puntos / puntuación
VP312,word,,습관,hábito
VP313,word,,걸리다,caer / ser atrapado
VP314,word,,괴롭히다,molestar / fastidiar
V5046,phrase,Minho,"사울 씨, 오늘 기분이 어때요?","Saul, ¿cómo te sientes hoy?"
V5047,phrase,Saul,조금 긴장돼요. 하지만 재미있어요.,Estoy un poco nervioso. Pero es divertido.
V5048,phrase,Bora,"오, 재미있다고 했어요. 혹시 그게 금지어였으면 바로 끝났겠네요.","Oh, dijo divertido. Si esa fuera la palabra prohibida, ya habría terminado."
V5049,phrase,Saul,말할 때마다 무서워요. 이제 아무 말도 못 하겠어요.,Me da miedo cada vez que hablo. Ahora siento que no puedo decir nada.
V5050,phrase,Dami,그럼 제가 질문할게요. 한국 음식 좋아해요?,Entonces yo haré una pregunta. ¿Te gusta la comida coreana?
V5051,phrase,Saul,"네, 좋아해요. 특히 매운 음식이 재미... 아니, 맛있어요.","Sí, me gusta. Especialmente la comida picante es divert... no, rica."
V5052,phrase,Taeyun,봤죠? 방금 뭔가 피했어요! 저건 습관이 있는 사람의 움직임이에요.,¿Lo vieron? ¡Acaba de evitar algo! Ese es el movimiento de alguien con un hábito.
V5053,phrase,Jisoo,아니면 그냥 외국어로 말하다가 단어를 바꾼 걸 수도 있어요.,O quizá solo cambió de palabra mientras hablaba en un idioma extranjero.
V5054,phrase,Bora,지수 씨는 왜 자꾸 사울 씨를 보호해요? 둘이 같은 팀이에요?,"Jisoo, ¿por qué sigues protegiendo a Saul? ¿Están en el mismo equipo?"
V5055,phrase,Jisoo,저는 보호하는 게 아니라 관찰하는 거예요.,No lo estoy protegiendo. Estoy observando.
V5056,phrase,Minho,좋습니다. 지금부터 서로 질문을 세 개씩 하겠습니다.,Muy bien. Desde ahora se harán tres preguntas unos a otros.
