id,type,speaker_or_blank,text,translation_or_blank,text_tts,lesson,section,pause_after_ms,repeat_count,repeat_style,is_key_phrase,playback_speed_hint
PODB010001,podcast,Profesor,Hoy vamos a escuchar y entender la Lección 01.,,[teacherly] Hoy vamos a escuchar y entender la Lección 01.,1,intro,0,1,normal,false,normal
PODB010002,podcast,Profesor,Primero escucha la escena completa.,,[teacherly] Primero escucha la escena completa.,1,intro,0,1,normal,false,normal
PODB010003,podcast,Aru,깼어요?,,[calm narrator] 깼어요?,1,scene,0,1,normal,false,normal
PODB010004,podcast,Aru,안녕하세요?,,[calm narrator] 안녕하세요?,1,scene,0,1,normal,false,normal
PODB010005,podcast,Aru,저는 아루예요.,,[calm narrator] 저는 아루예요.,1,scene,0,1,normal,false,normal
PODB010006,podcast,Saul,아루?,,[calm narrator] 아루?,1,scene,0,1,normal,false,normal
PODB010007,podcast,Aru,"네, 아루예요.",,"[calm narrator] 네, 아루예요.",1,scene,0,1,normal,false,normal
PODB010008,podcast,Saul,저는 사울이에요.,,[calm narrator] 저는 사울이에요.,1,scene,0,1,normal,false,normal
PODB010009,podcast,Aru,사울?,,[calm narrator] 사울?,1,scene,0,1,normal,false,normal
PODB010010,podcast,Saul,"네, 사울이에요.",,"[calm narrator] 네, 사울이에요.",1,scene,0,1,normal,false,normal
PODB010011,podcast,Aru,사울 씨.,,[calm narrator] 사울 씨.,1,scene,0,1,normal,false,normal
PODB010012,podcast,Saul,네?,,[calm narrator] 네?,1,scene,0,1,normal,false,normal
PODB010013,podcast,Narrador,깨다,despertar,[calm narrator] 깨다,1,scene,0,1,normal,false,normal
PODB010014,podcast,Narrador,안녕하세요,hola,[calm narrator] 안녕하세요,1,scene,0,1,normal,false,normal
PODB010015,podcast,Profesor,"En la lección 01, escucha cómo se usan las frases dentro de la escena. Después repasaremos el sentido de las expresiones más importantes.",,"[teacherly] En la lección 01, escucha cómo se usan las frases dentro de la escena. Después repasaremos el sentido de las expresiones más importantes.",1,explanation,0,1,normal,false,normal
PODB010016,podcast,Profesor,깼어요?,,[teacherly] 깼어요?,1,vocab,0,1,normal,false,normal
PODB010017,podcast,Profesor,안녕하세요?,,[teacherly] 안녕하세요?,1,vocab,0,1,normal,false,normal
PODB010018,podcast,Profesor,저는 아루예요.,,[teacherly] 저는 아루예요.,1,vocab,0,1,normal,false,normal
PODB010019,podcast,Profesor,아루?,,[teacherly] 아루?,1,vocab,0,1,normal,false,normal
PODB010020,podcast,Profesor,"네, 아루예요.",,"[teacherly] 네, 아루예요.",1,vocab,0,1,normal,false,normal
PODB010021,podcast,Profesor,Ahora escucha la escena una vez más e intenta reconocer las frases clave.,,[teacherly] Ahora escucha la escena una vez más e intenta reconocer las frases clave.,1,outro,0,1,normal,false,normal
PODB010022,podcast,Profesor,Hoy vamos a escuchar y entender la Lección 02.,,[teacherly] Hoy vamos a escuchar y entender la Lección 02.,2,intro,0,1,normal,false,normal
PODB010023,podcast,Profesor,Primero escucha la escena completa.,,[teacherly] Primero escucha la escena completa.,2,intro,0,1,normal,false,normal
PODB010024,podcast,Aru,괜찮아요?,,[calm narrator] 괜찮아요?,2,scene,0,1,normal,false,normal
PODB010025,podcast,Saul,네?,,[calm narrator] 네?,2,scene,0,1,normal,false,normal
PODB010026,podcast,Aru,괜찮아요?,,[calm narrator] 괜찮아요?,2,scene,0,1,normal,false,normal
