id,type,speaker_or_blank,text,translation_or_blank
BR1011,phrase,Ava,I don't mean that.,No quiero decir eso.
BR1012,phrase,Leo,What do you mean?,¿Qué quieres decir?
BR1013,phrase,Ava,I mean we should leave later.,Quiero decir que deberíamos salir más tarde.
BR1014,phrase,Leo,"Oh, I understand now.","Ah, ahora entiendo."
BR1015,phrase,Ava,Do you know what time Ben arrives?,¿Sabes a qué hora llega Ben?
BR1016,phrase,Leo,I don't know yet.,Todavía no lo sé.
BR1021,phrase,Ben,Do you think this plan will work?,¿Crees que este plan funcionará?
BR1022,phrase,Ava,I think so.,Creo que sí.
BR1023,phrase,Leo,I'm not sure.,No estoy seguro.
BR1024,phrase,Nora,I believe we have enough time.,Creo que tenemos suficiente tiempo.
BR1025,phrase,Ben,I guess we can try.,Supongo que podemos intentarlo.
BR1026,phrase,Leo,"Okay, let's do it.","Está bien, hagámoslo."
BR1031,phrase,Ava,Are you free this afternoon?,¿Estás libre esta tarde?
BR1032,phrase,Leo,It depends.,Depende.
BR1033,phrase,Ava,What does it depend on?,¿De qué depende?
BR1034,phrase,Leo,I have to finish some work.,Tengo que terminar algo de trabajo.
BR1035,phrase,Ava,Does six o'clock work for you?,¿Te funciona a las seis?
BR1036,phrase,Leo,"Yes, that works for me.","Sí, me funciona."
BR1041,phrase,Ben,Can you help me right now?,¿Puedes ayudarme ahora mismo?
BR1042,phrase,Leo,Give me a second.,Dame un segundo.
BR1043,phrase,Ben,"Sure, I'll wait.","Claro, esperaré."
BR1044,phrase,Leo,Hold on. I'm almost done.,Espera. Ya casi termino.
BR1045,phrase,Ben,Take your time.,Tómate tu tiempo.
BR1046,phrase,Leo,"Okay, I'm ready now.","Está bien, ya estoy listo."
BR1051,phrase,Nora,What time does the class start?,¿A qué hora empieza la clase?
BR1052,phrase,Leo,Let me check.,Déjame revisar.
BR1053,phrase,Nora,Can you find the schedule?,¿Puedes encontrar el horario?
BR1054,phrase,Leo,"Yes, I have it here.","Sí, lo tengo aquí."
BR1055,phrase,Leo,It starts at nine thirty.,Empieza a las nueve y media.
BR1056,phrase,Nora,Perfect. Thanks for checking.,Perfecto. Gracias por revisar.
BR1061,phrase,Ava,Who left this bag here?,¿Quién dejó esta bolsa aquí?
BR1062,phrase,Ben,I have no idea.,No tengo idea.
BR1063,phrase,Leo,Do you remember seeing it before?,¿Recuerdas haberla visto antes?
BR1064,phrase,Ben,"No, I don't remember.","No, no recuerdo."
BR1065,phrase,Nora,Maybe someone forgot it.,Tal vez alguien la olvidó.
BR1066,phrase,Ava,Let's ask at the front desk.,Preguntemos en recepción.
BR1071,phrase,Nora,The bus is usually late on Fridays.,El autobús suele llegar tarde los viernes.
BR1072,phrase,Leo,So you want to leave earlier?,¿Entonces quieres salir más temprano?
BR1073,phrase,Nora,Exactly.,Exactamente.
BR1074,phrase,Ava,That makes sense.,Eso tiene sentido.
BR1075,phrase,Ben,It sounds like a better plan.,Suena como un plan mejor.
BR1076,phrase,Leo,It seems easier too.,También parece más fácil.
BR1081,phrase,Leo,What's going on?,¿Qué está pasando?
BR1082,phrase,Ava,We're getting ready for the event.,Nos estamos preparando para el evento.
BR1083,phrase,Leo,What happened to the lights?,¿Qué pasó con las luces?
BR1084,phrase,Ben,They stopped working.,Dejaron de funcionar.
BR1085,phrase,Nora,We're trying to fix them.,Estamos intentando arreglarlas.
BR1086,phrase,Leo,Tell me what I can do.,Díganme qué puedo hacer.
BR1091,phrase,Ava,Where are you?,¿Dónde estás?
BR1092,phrase,Leo,I'm on my way.,Voy en camino.
BR1093,phrase,Ava,Have you left home?,¿Ya saliste de casa?
BR1094,phrase,Leo,"Yes, I left five minutes ago.","Sí, salí hace cinco minutos."
BR1095,phrase,Ava,When will you arrive?,¿Cuándo llegarás?
BR1096,phrase,Leo,I'll be there soon.,Estaré allí pronto.
BR1101,phrase,Ben,I'm running late.,Voy tarde.
BR1102,phrase,Nora,How late are you?,¿Cuánto te retrasarás?
BR1103,phrase,Ben,The trip is taking longer than usual.,El trayecto está tardando más de lo normal.
BR1104,phrase,Nora,Can you get here by seven?,¿Puedes llegar para las siete?
BR1105,phrase,Ben,"I think so, but don't wait for me.","Creo que sí, pero no me esperen."
BR1106,phrase,Nora,No problem. Drive safely.,No hay problema. Maneja con cuidado.
BR1111,phrase,Ava,Tap this button first.,Toca primero este botón.
BR1112,phrase,Leo,"Okay, I got it.","Está bien, entendí."
BR1113,phrase,Ava,Did you get the message I sent?,¿Recibiste el mensaje que envié?
BR1114,phrase,Leo,"Yes, I got it this morning.","Sí, lo recibí esta mañana."
BR1115,phrase,Ava,Can you get the file too?,¿También puedes conseguir el archivo?
BR1116,phrase,Leo,Sure. I'll download it now.,Claro. Lo descargaré ahora.
BR1121,phrase,Ben,"Hey, what are you up to?","Oye, ¿qué haces?"
