id,type,speaker_or_blank,text,translation_or_blank
HFA1011,phrase,Camille,Bonjour ! Je m’appelle Camille.,¡Hola! Me llamo Camille.
HFA1012,phrase,Jérôme,"Bonjour, moi, c’est Jérôme.","Hola, yo soy Jérôme."
HFA1013,phrase,Camille,Comment tu t’appelles ?,¿Cómo te llamas?
HFA1014,phrase,Jérôme,Je m’appelle Jérôme Lafarge.,Me llamo Jérôme Lafarge.
HFA1015,phrase,Camille,Tu es étudiant ici ?,¿Eres estudiante aquí?
HFA1016,phrase,Jérôme,"Oui, je suis étudiant.","Sí, soy estudiante."
HFA1V001,word,,bonjour,hola / buenos días
HFA1V002,word,,s’appeler,llamarse
HFA1V003,word,,étudiant,estudiante
HFA1V004,word,,ici,aquí
HFA1V005,word,,oui,sí
HFA1V006,word,,comment,cómo
HFA1021,phrase,Camille,Tu viens d’où ?,¿De dónde vienes?
HFA1022,phrase,Jérôme,Je viens du Brésil.,Vengo de Brasil.
HFA1023,phrase,Camille,Tu habites à Curitiba ?,¿Vives en Curitiba?
HFA1024,phrase,Jérôme,"Oui, j’habite à Curitiba.","Sí, vivo en Curitiba."
HFA1025,phrase,Camille,Tu parles portugais et anglais ?,¿Hablas portugués e inglés?
HFA1026,phrase,Jérôme,"Oui, et j’apprends le français.","Sí, y estoy aprendiendo francés."
HFA1V007,word,,venir de,venir de
HFA1V008,word,,le Brésil,Brasil
HFA1V009,word,,habiter,vivir
HFA1V010,word,,près de,cerca de
HFA1V011,word,,parler,hablar
HFA1V012,word,,apprendre,aprender
HFA1031,phrase,Madame Martin,Quel âge avez-vous ?,¿Qué edad tiene?
HFA1032,phrase,Jérôme,J’ai vingt-huit ans.,Tengo veintiocho años.
HFA1033,phrase,Madame Martin,Quel est votre nom de famille ?,¿Cuál es su apellido?
HFA1034,phrase,Jérôme,Mon nom de famille est Lafarge.,Mi apellido es Lafarge.
HFA1035,phrase,Madame Martin,"Vous pouvez l’épeler, s’il vous plaît ?","¿Puede deletrearlo, por favor?"
HFA1036,phrase,Jérôme,"Oui : L, A, F, A, R, G, E.","Sí: L, A, F, A, R, G, E."
HFA1V013,word,,l’âge,la edad
HFA1V014,word,,avoir,tener
HFA1V015,word,,le nom,el apellido / nombre
HFA1V016,word,,épeler,deletrear
HFA1V017,word,,s’il vous plaît,por favor
HFA1V018,word,,vingt-huit,veintiocho
HFA1041,phrase,Camille,Voici ta chambre.,Aquí está tu habitación.
HFA1042,phrase,Jérôme,Il y a un lit et un bureau.,Hay una cama y un escritorio.
HFA1043,phrase,Camille,La salle de bains est à droite.,El baño está a la derecha.
HFA1044,phrase,Jérôme,Où est la cuisine ?,¿Dónde está la cocina?
HFA1045,phrase,Camille,Elle est au premier étage.,Está en el primer piso.
HFA1046,phrase,Jérôme,"D’accord, merci pour ton aide.","De acuerdo, gracias por tu ayuda."
HFA1V019,word,,la chambre,la habitación
HFA1V020,word,,le lit,la cama
HFA1V021,word,,le bureau,el escritorio
HFA1V022,word,,la salle de bains,el baño
HFA1V023,word,,la cuisine,la cocina
HFA1V024,word,,l’étage,el piso
HFA1051,phrase,Camille,C’est ta famille sur la photo ?,¿Es tu familia en la foto?
HFA1052,phrase,Jérôme,"Oui, c’est ma mère et ma sœur.","Sí, son mi madre y mi hermana."
HFA1053,phrase,Camille,Tu as aussi un frère ?,¿También tienes un hermano?
HFA1054,phrase,Jérôme,"Non, je n’ai pas de frère.","No, no tengo hermano."
HFA1055,phrase,Camille,Ta sœur a quel âge ?,¿Qué edad tiene tu hermana?
HFA1056,phrase,Jérôme,Elle a vingt-deux ans.,Tiene veintidós años.
HFA1V025,word,,la famille,la familia
HFA1V026,word,,la mère,la madre
HFA1V027,word,,le frère,el hermano
HFA1V028,word,,la sœur,la hermana
HFA1V029,word,,la photo,la foto
HFA1V030,word,,aussi,también
HFA1061,phrase,Camille,"Alors, tu t’appelles Jérôme Lafarge.","Entonces, te llamas Jérôme Lafarge."
HFA1062,phrase,Jérôme,"Oui, j’ai vingt-huit ans.","Sí, tengo veintiocho años."
HFA1063,phrase,Camille,Tu viens du Brésil et tu habites à Curitiba.,Vienes de Brasil y vives en Curitiba.
HFA1064,phrase,Jérôme,Exactement. Je parle portugais et anglais.,Exactamente. Hablo portugués e inglés.
HFA1065,phrase,Camille,"Et maintenant, tu apprends le français.",Y ahora aprendes francés.
HFA1066,phrase,Jérôme,"Oui, je veux bien parler français.","Sí, quiero hablar bien francés."
HFA1V031,word,,alors,entonces / bien
HFA1V032,word,,exactement,exactamente
HFA1V033,word,,maintenant,ahora
HFA1V034,word,,vouloir,querer
HFA1V035,word,,bien,bien
HFA1V036,word,,le profil,el perfil
HFA1071,phrase,Julien,À quelle heure tu te lèves ?,¿A qué hora te levantas?
HFA1072,phrase,Jérôme,Je me lève à six heures et demie.,Me levanto a las seis y media.
HFA1073,phrase,Julien,Tu prends le petit-déjeuner ?,¿Desayunas?
HFA1074,phrase,Jérôme,"Oui, je bois du thé, puis je vais en cours.","Sí, tomo té y luego voy a clase."
HFA1075,phrase,Julien,"Et le soir, tu te couches tôt ?",¿Y por la noche te acuestas temprano?
HFA1076,phrase,Jérôme,"En général, je me couche vers minuit.","Por lo general, me acuesto cerca de la medianoche."
HFA1V037,word,,se lever,levantarse
HFA1V038,word,,le petit-déjeuner,el desayuno
HFA1V039,word,,aller en cours,ir a clase
HFA1V040,word,,le soir,por la noche
HFA1V041,word,,se coucher,acostarse
HFA1V042,word,,vers,aproximadamente
HFA1081,phrase,Julien,Qu’est-ce que tu étudies ?,¿Qué estudias?
HFA1082,phrase,Jérôme,J’étudie le design graphique.,Estudio diseño gráfico.
HFA1083,phrase,Julien,Quelle matière tu préfères ?,¿Qué materia prefieres?
HFA1084,phrase,Jérôme,"Je préfère la photographie, mais j’aime aussi l’illustration.","Prefiero la fotografía, pero también me gusta la ilustración."
HFA1085,phrase,Julien,Pourquoi tu aimes le design ?,¿Por qué te gusta el diseño?
HFA1086,phrase,Jérôme,Parce que j’aime créer des images et raconter des histoires.,Porque me gusta crear imágenes y contar historias.
HFA1V043,word,,étudier,estudiar
HFA1V044,word,,la langue,el idioma
HFA1V045,word,,étranger,extranjero
HFA1V046,word,,préférer,preferir
HFA1V047,word,,pourquoi,por qué
HFA1V048,word,,la culture,la cultura
HFA1091,phrase,Julien,Tu travailles en même temps que tes études ?,¿Trabajas al mismo tiempo que estudias?
HFA1092,phrase,Jérôme,"Oui, je travaille dans une librairie.","Sí, trabajo en una librería."
HFA1093,phrase,Julien,Tu travailles quels jours ?,¿Qué días trabajas?
HFA1094,phrase,Jérôme,Je travaille le samedi après-midi.,Trabajo los sábados por la tarde.
HFA1095,phrase,Julien,Tu commences à quelle heure ?,¿A qué hora empiezas?
HFA1096,phrase,Jérôme,Je commence à treize heures et je finis à dix-neuf heures.,Empiezo a la una de la tarde y termino a las siete.
HFA1V049,word,,travailler,trabajar
HFA1V050,word,,la librairie,la librería
HFA1V051,word,,le samedi,el sábado
HFA1V052,word,,le dimanche,el domingo
HFA1V053,word,,commencer,comenzar
HFA1V054,word,,finir,terminar
HFA1101,phrase,Camille,Qu’est-ce que tu fais pendant ton temps libre ?,¿Qué haces en tu tiempo libre?
HFA1102,phrase,Jérôme,Je fais de la photographie et du vélo.,Practico fotografía y ciclismo.
HFA1103,phrase,Camille,Tu fais aussi de la natation ?,¿También practicas natación?
HFA1104,phrase,Jérôme,"Oui, je vais souvent à la piscine.","Sí, voy seguido a la piscina."
HFA1105,phrase,Camille,Tu aimes les sports d’équipe ?,¿Te gustan los deportes de equipo?
HFA1106,phrase,Jérôme,Pas beaucoup. Je préfère les activités tranquilles.,No mucho. Prefiero las actividades tranquilas.
HFA1V055,word,,le temps libre,el tiempo libre
HFA1V056,word,,faire de la photographie,practicar fotografía
HFA1V057,word,,écouter,escuchar
HFA1V058,word,,souvent,a menudo
HFA1V059,word,,courir,correr
HFA1V060,word,,la natation,la natación
HFA1111,phrase,Camille,Tu veux manger quoi ?,¿Qué quieres comer?
HFA1112,phrase,Jérôme,Je voudrais des pâtes avec des légumes.,Quisiera pasta con verduras.
HFA1113,phrase,Camille,Tu prends de l’eau gazeuse ou du jus ?,¿Tomas agua mineral con gas o jugo?
HFA1114,phrase,Jérôme,"Je prends de l’eau gazeuse, s’il te plaît.","Tomo agua mineral con gas, por favor."
HFA1115,phrase,Camille,Tu ne veux pas de dessert ?,¿No quieres postre?
HFA1116,phrase,Jérôme,"Non merci, je n’ai plus faim.","No, gracias; ya no tengo hambre."
HFA1V061,word,,le poulet,el pollo
HFA1V062,word,,le riz,el arroz
HFA1V063,word,,l’eau,el agua
HFA1V064,word,,le jus,el jugo
HFA1V065,word,,le dessert,el postre
HFA1V066,word,,avoir faim,tener hambre
HFA1121,phrase,Jérôme,"D’abord, je me lève à six heures et demie.","Primero, me levanto a las seis y media."
HFA1122,phrase,Jérôme,"Ensuite, je prends le petit-déjeuner.","Después, desayuno."
HFA1123,phrase,Jérôme,"Puis, j’étudie le design graphique.","Luego, estudio diseño gráfico."
HFA1124,phrase,Jérôme,"Le samedi, je travaille dans une librairie.",Los sábados trabajo en una librería.
HFA1125,phrase,Jérôme,"Pendant mon temps libre, je fais de la photographie et du vélo.","Durante mi tiempo libre, practico fotografía y ciclismo."
HFA1126,phrase,Jérôme,"Enfin, je vais à la piscine.","Por último, voy a la piscina."
HFA1V067,word,,d’abord,primero
HFA1V068,word,,ensuite,después
HFA1V069,word,,puis,luego
HFA1V070,word,,le week-end,el fin de semana
HFA1V071,word,,pendant,durante
HFA1V072,word,,enfin,por último
HFA1131,phrase,Jérôme,Il fait quel temps aujourd’hui ?,¿Qué tiempo hace hoy?
HFA1132,phrase,Camille,Il fait froid et il y a du vent.,Hace frío y hay viento.
HFA1133,phrase,Jérôme,Il va pleuvoir ?,¿Va a llover?
HFA1134,phrase,Camille,"Oui, probablement cet après-midi.","Sí, probablemente esta tarde."
HFA1135,phrase,Jérôme,"Alors, je prends mon parapluie.","Entonces, llevo mi paraguas."
HFA1136,phrase,Camille,"Bonne idée. En automne, le temps change vite.","Buena idea. En otoño, el tiempo cambia rápido."
HFA1V073,word,,le temps,el clima
HFA1V074,word,,froid,frío
HFA1V075,word,,le vent,el viento
HFA1V076,word,,pleuvoir,llover
HFA1V077,word,,le parapluie,el paraguas
HFA1V078,word,,l’automne,el otoño
HFA1141,phrase,Jérôme,"Excusez-moi, où est la gare ?","Disculpe, ¿dónde está la estación?"
HFA1142,phrase,Madame Martin,Continuez tout droit jusqu’au feu.,Siga derecho hasta el semáforo.
HFA1143,phrase,Madame Martin,"Puis, tournez à gauche.","Luego, gire a la izquierda."
HFA1144,phrase,Jérôme,La gare est loin d’ici ?,¿La estación está lejos de aquí?
HFA1145,phrase,Madame Martin,"Non, elle est à cinq minutes à pied.","No, está a cinco minutos caminando."
