id,type,speaker_or_blank,text,translation_or_blank,text_tts,lesson,section,pause_after_ms,repeat_count,repeat_style,is_key_phrase,playback_speed_hint
PODB030001,podcast,Profesor,Hoy vamos a escuchar y entender la Lección 29.,,[teacherly] Hoy vamos a escuchar y entender la Lección 29.,29,intro,0,1,normal,false,normal
PODB030002,podcast,Profesor,Primero escucha la escena completa.,,[teacherly] Primero escucha la escena completa.,29,intro,0,1,normal,false,normal
PODB030003,podcast,Abuela,오늘은 중요한 일을 해야 한다. 이 상자를 하늘 마을까지 가져가야 해.,Hoy debemos hacer algo importante. Hay que llevar esta caja hasta la aldea Haneul.,[calm narrator] 오늘은 중요한 일을 해야 한다. 이 상자를 하늘 마을까지 가져가야 해.,29,scene,0,1,normal,false,normal
PODB030004,podcast,Saul,하늘 마을이요? 다른 마을도 있어요?,¿Aldea Haneul? ¿También hay otras aldeas?,[calm narrator] 하늘 마을이요? 다른 마을도 있어요?,29,scene,0,1,normal,false,normal
PODB030005,podcast,Aru,네. 이곳 밖에도 여러 마을이 있어요.,Sí. Fuera de aquí también hay varias aldeas.,[calm narrator] 네. 이곳 밖에도 여러 마을이 있어요.,29,scene,0,1,normal,false,normal
PODB030006,podcast,Joon,길은 멀지만 너무 위험하지는 않아요.,"El camino es largo, pero no es demasiado peligroso.",[calm narrator] 길은 멀지만 너무 위험하지는 않아요.,29,scene,0,1,normal,false,normal
PODB030007,podcast,Hana,그래도 준비가 필요해요. 물하고 음식을 챙겨야 해요.,Aun así necesitamos prepararnos. Debemos llevar agua y comida.,[calm narrator] 그래도 준비가 필요해요. 물하고 음식을 챙겨야 해요.,29,scene,0,1,normal,false,normal
PODB030008,podcast,Saul,저도 같이 갈 거예요. 이제 도망가고 싶지 않아요.,Yo también iré. Ahora ya no quiero huir.,[calm narrator] 저도 같이 갈 거예요. 이제 도망가고 싶지 않아요.,29,scene,0,1,normal,false,normal
PODB030009,podcast,Narrador,상자,caja,[calm narrator] 상자,29,scene,0,1,normal,false,normal
PODB030010,podcast,Narrador,가져가다,llevar,[calm narrator] 가져가다,29,scene,0,1,normal,false,normal
PODB030011,podcast,Narrador,밖,fuera,[calm narrator] 밖,29,scene,0,1,normal,false,normal
PODB030012,podcast,Narrador,여러,varios,[calm narrator] 여러,29,scene,0,1,normal,false,normal
