id,lesson,type,speaker_or_blank,text,translation_or_blank,text_tts
L01_01,1,phrase,콩이,안녕하세요! 무인도 이주 패키지 체크인 카운터에 찾아주셔서 감사합니다.,¡Hola! Gracias por venir al mostrador de registro del paquete de mudanza a una isla desierta.,안녕하세요! 무인도 이주 패키지 체크인 카운터에 찾아주셔서 감사합니다.
L01_02,1,phrase,밤이,여기는 섬 생활 안내 카운터입니다. 저희가 준비를 담당하고 있어요.,Este es el mostrador de orientación para la vida en la isla. Nosotros estamos a cargo de los preparativos.,여기는 섬 생활 안내 카운터입니다. 저희가 준비를 담당하고 있어요.
L01_03,1,phrase,사울,"처음 이용하는 건가요? 아니요, 제가 묻는 사람이 아니죠.","¿Es la primera vez que lo utiliza? No, yo no soy quien debería preguntar eso.","처음 이용하는 건가요? 아니요, 제가 묻는 사람이 아니죠."
L01_04,1,phrase,콩이,맞아요. 하지만 오늘 프린터가 담당자라서 모두 조금 혼란스러워요.,"Correcto. Pero hoy la impresora está a cargo, así que todos estamos algo confundidos.",맞아요. 하지만 오늘 프린터가 담당자라서 모두 조금 혼란스러워요.
L01_05,1,phrase,프린터,신청을 확인해야 해요. 종이를 넣어 주세요.,"Hay que comprobar la solicitud. Por favor, introduzca papel.",신청을 확인해야 해요. 종이를 넣어 주세요.
L01_06,1,phrase,밤이,프린터한테 잘 부탁드립니다. 화가 나면 이름을 전부 대문자로 써요.,"Cuente con la impresora. Cuando se enfada, escribe todo el nombre en mayúsculas.",프린터한테 잘 부탁드립니다. 화가 나면 이름을 전부 대문자로 써요.
L01_07,1,phrase,사울,그럼 바로 본론으로 들어가요.,Entonces vayamos directamente al asunto.,그럼 바로 본론으로 들어가요.
L01_08,1,phrase,콩이,좋아요. 지금부터 새로운 생활을 위한 준비를 진행하겠습니다.,Bien. A partir de ahora procederemos con los preparativos para su nueva vida.,좋아요. 지금부터 새로운 생활을 위한 준비를 진행하겠습니다.
L01_09,1,phrase,프린터,삐빅. 공백이 너무 많습니다.,Bip. Hay demasiados espacios.,삐빅. 공백이 너무 많습니다.
L01_10,1,phrase,사울,아직 시작도 안 했는데요…,Pero si todavía ni hemos empezado…,아직 시작도 안 했는데요…
L02_01,2,phrase,콩이,손님의 성함과 생일을 알려주시겠어요?,¿Podría decirnos su nombre y fecha de nacimiento?,손님의 성함과 생일을 알려주시겠어요?
L02_02,2,phrase,사울,이름은 사울이고 생일은 오월 이십삼 일이에요.,Me llamo Saúl y mi cumpleaños es el 23 de mayo.,이름은 사울이고 생일은 오월 이십삼 일이에요.
L02_03,2,phrase,밤이,한글이나 영문으로 입력할 수 있어요. 기호도 사용할 수 있습니다.,Puede escribirlo en hangul o con letras latinas. También puede usar símbolos.,한글이나 영문으로 입력할 수 있어요. 기호도 사용할 수 있습니다.
L02_04,2,phrase,프린터,개행은 사용할 수 없습니다. 저는 줄이 바뀌는 걸 싫어합니다.,No se puede usar salto de línea. No me gusta que cambien las líneas.,개행은 사용할 수 없습니다. 저는 줄이 바뀌는 걸 싫어합니다.
L02_05,2,phrase,콩이,이 모습이 맞으신가요?,¿Esta apariencia es correcta?,이 모습이 맞으신가요?
L02_06,2,phrase,사울,피부색은 괜찮지만 볼을 조금 바꾸고 싶어요.,"El tono de piel está bien, pero quiero cambiar un poco las mejillas.",피부색은 괜찮지만 볼을 조금 바꾸고 싶어요.
L02_07,2,phrase,밤이,상담을 통해 마음껏 꾸밀 수 있어요.,Puede personalizarse libremente mediante la consulta.,상담을 통해 마음껏 꾸밀 수 있어요.
L02_08,2,phrase,사울,다시 생각할래요. 머리가 갑자기 버섯처럼 됐어요.,Quiero pensarlo otra vez. Mi cabello de repente quedó como un hongo.,다시 생각할래요. 머리가 갑자기 버섯처럼 됐어요.
L02_09,2,phrase,콩이,변경이 확인됐습니다. 이제 확정할까요?,El cambio quedó confirmado. ¿Lo confirmamos ahora?,변경이 확인됐습니다. 이제 확정할까요?
L02_10,2,phrase,사울,네. 사진을 찍을게요. 프린터는 빼고요.,Sí. Tomaré la foto. Sin la impresora.,네. 사진을 찍을게요. 프린터는 빼고요.
L03_01,3,phrase,밤이,새로운 생활을 위해서 사계절과 기후를 정하려고 합니다.,Para su nueva vida vamos a decidir las estaciones y el clima.,새로운 생활을 위해서 사계절과 기후를 정하려고 합니다.
L03_02,3,phrase,콩이,사는 곳은 어디인가요? 대략적으로만 알려주세요.,¿Dónde vive? Díganoslo solo aproximadamente.,사는 곳은 어디인가요? 대략적으로만 알려주세요.
L03_03,3,phrase,사울,북미예요. 멕시코에 살아요.,Norteamérica. Vivo en México.,북미예요. 멕시코에 살아요.
L03_04,3,phrase,밤이,한국에 사시는 줄 알았어요.,Pensé que vivía en Corea.,한국에 사시는 줄 알았어요.
L03_05,3,phrase,사울,해외에도 한국어를 공부하는 사람이 있어요.,También hay gente que estudia coreano fuera de Corea.,해외에도 한국어를 공부하는 사람이 있어요.
L03_06,3,phrase,콩이,그러시다면 북반구의 섬을 추천하고 싶은데 어떠신가요?,"Si es así, nos gustaría recomendarle una isla del hemisferio norte. ¿Qué le parece?",그러시다면 북반구의 섬을 추천하고 싶은데 어떠신가요?
L03_07,3,phrase,사울,좋아요. 남반구는 계절의 흐름이 정반대죠?,"Bien. En el hemisferio sur el transcurso de las estaciones es completamente opuesto, ¿verdad?",좋아요. 남반구는 계절의 흐름이 정반대죠?
L03_08,3,phrase,지도리,지도 중에서 마음에 드는 곳을 골라주세요!,¡Elija en el mapa el lugar que le guste!,지도 중에서 마음에 드는 곳을 골라주세요!
L03_09,3,phrase,사울,이 섬은 지형의 느낌이 좋아요.,Me gusta la sensación del terreno de esta isla.,이 섬은 지형의 느낌이 좋아요.
L03_10,3,phrase,지도리,드디어 정해졌네요! 물론 저는 다른 섬을 추천했지만요.,¡Por fin quedó decidido! Aunque yo había recomendado otra isla.,드디어 정해졌네요! 물론 저는 다른 섬을 추천했지만요.
L04_01,4,phrase,콩이,마지막으로 하나만 더 여쭤봐도 될까요?,"Por último, ¿podemos preguntarle una cosa más?",마지막으로 하나만 더 여쭤봐도 될까요?
L04_02,4,phrase,콩이,무인도에 물건 하나만 가져갈 수 있다면 무엇을 고르시겠어요?,"Si pudiera llevar solo un objeto a una isla desierta, ¿qué elegiría?",무인도에 물건 하나만 가져갈 수 있다면 무엇을 고르시겠어요?
L04_03,4,phrase,사울,침낭이요. 전등이나 음식도 필요하지만 먼저 자고 싶어요.,"Un saco de dormir. También necesito una lámpara y comida, pero primero quiero dormir.",침낭이요. 전등이나 음식도 필요하지만 먼저 자고 싶어요.
L04_04,4,phrase,밤이,오락거리는 안 고르세요?,¿No elegirá entretenimiento?,오락거리는 안 고르세요?
