id,type,speaker_or_blank,text,translation_or_blank
HGA1011,phrase,Elias,Hallo! Willkommen in der Stadtbibliothek.,¡Hola! Bienvenida a la biblioteca municipal.
HGA1012,phrase,Lina,Hallo. Ich heiße Lina.,Hola. Me llamo Lina.
HGA1013,phrase,Elias,Ich bin Elias. Wie heißt du?,Soy Elias. ¿Cómo te llamas?
HGA1014,phrase,Lina,Ich heiße Lina Berger.,Me llamo Lina Berger.
HGA1015,phrase,Elias,Bist du die neue Helferin?,¿Eres la nueva ayudante?
HGA1016,phrase,Lina,"Ja, ich bin heute zum ersten Mal hier.","Sí, hoy estoy aquí por primera vez."
HGA1W011,word,,hallo,hola
HGA1W012,word,,willkommen,bienvenido/a
HGA1W013,word,,heißen,llamarse
HGA1W014,word,,die Helferin,la ayudante
HGA1W015,word,,heute,hoy
HGA1W016,word,,hier,aquí
HGA1021,phrase,Elias,"Woher kommst du, Lina?","¿De dónde vienes, Lina?"
HGA1022,phrase,Lina,Ich komme aus Österreich.,Vengo de Austria.
HGA1023,phrase,Elias,Wohnst du jetzt in Feldheim?,¿Vives ahora en Feldheim?
HGA1024,phrase,Lina,"Ja, ich wohne in der Gartenstraße.","Sí, vivo en la calle Gartenstraße."
HGA1025,phrase,Elias,Ist die Wohnung weit von hier?,¿El apartamento está lejos de aquí?
HGA1026,phrase,Lina,"Nein, sie ist nur zehn Minuten entfernt.","No, está a solo diez minutos."
HGA1W021,word,,woher,de dónde
HGA1W022,word,,kommen,venir
HGA1W023,word,,wohnen,vivir/residir
HGA1W024,word,,die Wohnung,el apartamento
HGA1W025,word,,weit,lejos
HGA1W026,word,,entfernt,distante
HGA1031,phrase,Frau Weber,Guten Morgen. Wie ist Ihr Familienname?,Buenos días. ¿Cuál es su apellido?
HGA1032,phrase,Lina,Mein Familienname ist Berger.,Mi apellido es Berger.
HGA1033,phrase,Frau Weber,Wie schreibt man Berger?,¿Cómo se escribe Berger?
HGA1034,phrase,Lina,"B, E, R, G, E, R.","B, E, R, G, E, R."
HGA1035,phrase,Frau Weber,Und wie ist Ihre Telefonnummer?,¿Y cuál es su número de teléfono?
HGA1036,phrase,Lina,"Null eins sieben sechs, neun vier zwei acht.","Cero uno siete seis, nueve cuatro dos ocho."
HGA1W031,word,,der Familienname,el apellido
HGA1W032,word,,schreiben,escribir
HGA1W033,word,,die Telefonnummer,el número de teléfono
HGA1W034,word,,null,cero
HGA1W035,word,,mein,mi
HGA1W036,word,,Ihr,"su, formal"
HGA1041,phrase,Elias,Hier ist der Lesesaal.,Aquí está la sala de lectura.
HGA1042,phrase,Lina,Und was ist das dort?,¿Y qué es eso de allá?
HGA1043,phrase,Elias,Das ist die Information.,Ese es el mostrador de información.
HGA1044,phrase,Lina,Ist hier auch ein Computer?,¿Aquí también hay una computadora?
HGA1045,phrase,Elias,"Ja, der Computer steht neben dem Fenster.","Sí, la computadora está junto a la ventana."
HGA1046,phrase,Lina,Gut. Und wo sind die Bücher?,Bien. ¿Y dónde están los libros?
HGA1W041,word,,der Lesesaal,la sala de lectura
HGA1W042,word,,die Information,la información/el mostrador
HGA1W043,word,,der Computer,la computadora
HGA1W044,word,,das Fenster,la ventana
HGA1W045,word,,das Buch,el libro
HGA1W046,word,,neben,junto a
HGA1051,phrase,Greta,Das ist meine Familie auf dem Foto.,Esta es mi familia en la foto.
HGA1052,phrase,Lina,Wer ist die Frau links?,¿Quién es la mujer de la izquierda?
HGA1053,phrase,Greta,Das ist meine Tochter Anna.,Esa es mi hija Anna.
HGA1054,phrase,Lina,Hast du auch einen Sohn?,¿También tienes un hijo?
HGA1055,phrase,Greta,"Ja, mein Sohn heißt Martin.","Sí, mi hijo se llama Martin."
HGA1056,phrase,Lina,Und die zwei Kinder sind deine Enkel?,¿Y los dos niños son tus nietos?
HGA1W051,word,,die Familie,la familia
HGA1W052,word,,die Tochter,la hija
HGA1W053,word,,der Sohn,el hijo
HGA1W054,word,,das Kind,el niño
HGA1W055,word,,der Enkel,el nieto
HGA1W056,word,,links,a la izquierda
HGA1061,phrase,Frau Weber,Wir sind heute alle zusammen.,Hoy estamos todos juntos.
HGA1062,phrase,Elias,Lina ist unsere neue Helferin.,Lina es nuestra nueva ayudante.
HGA1063,phrase,Noah,Ich bin Noah und arbeite am Nachmittag.,Soy Noah y trabajo por la tarde.
HGA1064,phrase,Greta,Ich helfe jeden Dienstag und Donnerstag.,Ayudo todos los martes y jueves.
HGA1065,phrase,Lina,Und Frau Weber leitet die Bibliothek.,Y la señora Weber dirige la biblioteca.
